# data generated by python.tests.handytest.TestSuite.testSelectSzPk
Stone,Shape,Size,unitWgt,RefPK#
CZ,ROUND,0.8,0.00496,CZR0071B
CZ,ROUND,0.9,0.00576,CZR00012
CZ,ROUND,1,0.00872,CZR0034H
CZ,ROUND,1.1,0.01159,CZR0011H
CZ,ROUND,1.2,0.01428,CZR0008X
CZ,ROUND,1.25,0.01649,CZR00012
CZ,ROUND,1.3,0.01895,CZR0029H
CZ,ROUND,1.4,0.02385,CZR0009G
CZ,ROUND,1.5,0.02951,CZR0005H
CZ,ROUND,1.6,0.03465,CZR0010Y
CZ,ROUND,1.7,0.03989,CZR0013B
CZ,ROUND,1.75,0.04402,CZR0030E
CZ,ROUND,1.8,0.04778,CZR0012R
CZ,ROUND,1.9,0.05468,CZR0014N
CZ,ROUND,2,0.06442,CZR0017H
CZ,ROUND,2.1,0.07451,CZR0020C
CZ,ROUND,2.2,0.085,CZR0016M
CZ,ROUND,2.25,0.08862,CZR0018Y
CZ,ROUND,2.3,0.08993,CZR00023
CZ,ROUND,2.4,0.10589,CZR0021Y
CZ,ROUND,2.5,0.12286,CZR0019W
CZ,ROUND,2.6,0.13113,CZR0022W
CZ,ROUND,2.7,0.14554,CZR00023
CZ,ROUND,2.75,0.15645,CZR0023Y
CZ,ROUND,2.8,0.17779,CZR0040X
CZ,ROUND,2.9,0.19675,CZR0041M
CZ,ROUND,3,0.1951,CZR0001V
CZ,ROUND,3.1,0.22418,CZR0043X
CZ,ROUND,3.2,0.24183,CZR0042H
CZ,ROUND,3.25,0.24747,CZR0028C
CZ,ROUND,3.5,0.313,CZR0033N
CZ,ROUND,3.75,0.38191,CZR00034
CZ,ROUND,4,0.45065,CZR0031G
CZ,ROUND,4.25,0.56946,CZR0007V
CZ,ROUND,4.5,0.65525,CZR0024H
CZ,ROUND,5,0.85317,CZR0002V
CZ,ROUND,5.25,1.017,CZR0074B
CZ,ROUND,5.5,1.14515,CZR00632
CZ,ROUND,6,1.4461,CZR0015N
CZ,ROUND,6.25,1.70488,CZR0025M
CZ,ROUND,6.5,1.8721,CZR00248
CZ,ROUND,7,2.34237,CZR0006K
CZ,ROUND,7.5,2.86779,CZR0079K
CZ,ROUND,8,3.45092,CZR0026X
CZ,ROUND,9,4.8551,CZR0047M
CZ,ROUND,9.5,5.75133,CZR0068H
CZ,ROUND,10,6.60659,CZR00388
CZ,ROUND,11,8.97304,CZR0070M
CZ,ROUND,12,10.86538,CZR0037F
CZ,ROUND,14,16.94044,CZR0059G
