catid,codec,description
1,A7,9K黃金+10K黃金
1,A9,9K黃金+9K白金
1,AA,9K黃金+9K白金+9K玫瑰金
1,B3,9K白金
1,B7,9K白金+10K白金
1,C0,9K玫瑰金
1,C3,9K玫瑰金+10K玫瑰金
1,C7,10K玫瑰金
1,C8,14K玫瑰金
1,C9,18K玫瑰金
1,CA,10K玫瑰金+10K白金
1,D8,999銀
1,DD,990銀
1,F0,10K白金
1,F1,10K白金+10K黃金+10K玫瑰金
1,F2,10K白金+10K玫瑰金
1,FV,10K白金+10K黃金
1,G0,14K白金
1,G1,14K白金+14K黃金+14K玫瑰金
1,G3,14K白金+黃　
1,GV,14K白金+14K黃金
1,H0,18K白金
1,H1,18K白金+18K黃金
1,J0,鈦
1,J1,鈦+不鏽鋼
1,K0,BONDED GOLD 10%9K金 單面
1,K1,BONDED GOLD 10%9K金 雙面
1,K2,BONDED GOLD 20%9K金 單面
1,K3,BONDED GOLD 20%9K金 雙面
1,K4,BONDED GOLD 10%9K金 雙面+9K黃金
1,L0,鋅合金
1,L2,鋅合金+黃　
1,L3,鋅合金+925銀
1,L4,鋅合金+黃銅+不鏽鋼
1,L5,鋅合金+不鏽鋼
1,L6,錫合金+黃銅
1,L7,鋅合金+鐵
1,L8,鋅合金+鐵+銅
1,M0,925銀+14K黃金+14K玫瑰金
1,M1,925銀+18K黃金
1,M2,925銀+14K黃金
1,M3,925銀+10K黃金
1,M4,925銀+18K玫瑰金
1,M5,925銀+9K黃金
1,M9,925銀+9K玫瑰金
1,MB,925銀+10K玫瑰金
1,MC,925銀+10K黃金+10K玫瑰金
1,MD,925銀+9K黃金+9K玫瑰金
1,S6,銀鍍黃金0.5MIC
1,S7,銀鍍黃金0.6MIC
1,S8,銀鍍黃金2MIC
1,SA,銀鍍黃金4MIC
1,SB,銀鍍黃金(玫瑰金)5MIC
1,SC,銀鍍黃金2.5MIC
1,SD,銀鍍黃金5MIC
1,SE,銀鍍玫瑰金5MIC
1,SF,銀鍍玫瑰金2.5MIC
1,SG,銀鍍黃金1.5MIC
1,SH,銀鍍玫瑰金1.5MIC
1,SJ,銀鍍黃金0.75MIC
1,SK,銀鍍玫瑰金0.75MIC
1,SL,銀鍍玫瑰金0.875MIC
1,SM,銀鍍黃金1.2MIC
1,SN,銀鍍玫瑰金1.2MIC
1,SR,銀鍍玫瑰金0.5MIC
1,ST,銀鍍玫瑰金2MIC
1,SU,銀鍍黃金2.5MIC(紅剛LOGO)
1,SW,銀鍍黃金/玫瑰金0.5MIC(無LOGO)
1,SX,銀鍍黃金2MIC(紅剛LOGO)
1,SZ,銀鍍金/玫瑰金0.5MIC(鐳射切割)
1,T0,不鏽鋼
1,T1,不鏽鋼+925銀
1,T2,不鏽鋼+14K黃金
1,T5,不鏽鋼+黃　
1,T6,不鏽鋼+紫　
1,T7,不鏽鋼(304)
1,V0,銀鍍黃金0.1MIC
1,V1,銀鍍黃金0.375MIC
1,V2,銀鍍黃金0.125MIC
1,V3,銀鍍黃金0.175MIC
